動画ファイル名,開始時間,終了時間,統一動作名,部位,強度
[43ujp3KQ8kE].mp4,0:13,0:48,ニー・トゥ・エルボー,下半身,中
[43ujp3KQ8kE].mp4,0:58,1:33,ダイアゴナルパンチ,上半身,中
[43ujp3KQ8kE].mp4,1:39,2:18,ツイストスクワット,下半身,中
[43ujp3KQ8kE].mp4,2:28,3:03,ランジ (右),下半身,中
[43ujp3KQ8kE].mp4,3:13,3:48,コンビネーションパンチ,上半身,中
[43ujp3KQ8kE].mp4,3:58,4:33,トゥタッチ,下半身,中
[43ujp3KQ8kE].mp4,4:43,5:18,スクワット・トゥタッチ,全身,高
[43ujp3KQ8kE].mp4,5:28,6:04,プランク・ステップアウト,全身,高
[43ujp3KQ8kE].mp4,6:13,6:48,オルタネイト・ステップ,下半身,低
[43ujp3KQ8kE].mp4,6:58,7:34,スケーター,全身,高
[43ujp3KQ8kE].mp4,7:44,8:19,ランジ (左),下半身,中
[43ujp3KQ8kE].mp4,8:29,9:04,スクワット・カーフレイズ,下半身,中
[43ujp3KQ8kE].mp4,9:14,9:49,オルタネイト・ニータッチ,下半身,中
[43ujp3KQ8kE].mp4,9:59,10:34,トゥタッチ,下半身,中
[cU1lz4_5dRM].mp4,0:08,0:14,ショルダーロール,上半身,低
[cU1lz4_5dRM].mp4,0:14,0:23,ショルダーロール (リバース),上半身,低
[cU1lz4_5dRM].mp4,0:23,0:38,バック・アンクルタッチ,下半身,低
[cU1lz4_5dRM].mp4,0:38,0:53,バックストレッチ,上半身,低
[cU1lz4_5dRM].mp4,0:53,1:08,リバースクラップ,上半身,低
[cU1lz4_5dRM].mp4,1:23,1:38,ハイニー (アームレイズ),全身,中
[cU1lz4_5dRM].mp4,1:38,1:53,バック・アンクルタッチ,下半身,低
[cU1lz4_5dRM].mp4,1:53,2:08,バックストレッチ,上半身,低
[cU1lz4_5dRM].mp4,2:08,2:23,ハイニー (アームレイズ),全身,中
[cU1lz4_5dRM].mp4,2:23,2:53,リバースクラップ,上半身,低
[cU1lz4_5dRM].mp4,2:53,3:08,ハイニー (アームレイズ),全身,中
[cU1lz4_5dRM].mp4,3:23,3:53,トゥタッチ,下半身,中
[cU1lz4_5dRM].mp4,3:53,4:08,スクワット・サイドキック,下半身,高
[cU1lz4_5dRM].mp4,4:08,4:22,スクワット・パルス,下半身,中
[cU1lz4_5dRM].mp4,4:22,4:53,トゥタッチ,下半身,中
[cU1lz4_5dRM].mp4,4:53,5:07,スクワット・サイドキック,下半身,高
[cU1lz4_5dRM].mp4,5:25,6:11,レインボーレッグリフト,下半身,中
[cU1lz4_5dRM].mp4,6:11,7:08,アームスイング,上半身,低
[cU1lz4_5dRM].mp4,7:08,7:43,ヒップスイング,全身,低
[cU1lz4_5dRM].mp4,7:51,8:09,サイド・ニータッチ,全身,中
